epoch,loss,lr,val_loss
0,0.00013577903155237436,1e-04,0.0001080924630514346
1,7.148699660319835e-05,1e-04,7.204148278106004e-05
2,5.0966824346687645e-05,1e-04,5.410914309322834e-05
3,4.146984429098666e-05,1e-04,4.7070541768334806e-05
4,3.459848812781274e-05,1e-04,4.503371746977791e-05
5,2.929375295934733e-05,1e-04,3.67837528756354e-05
6,2.5231243853340857e-05,1e-04,4.516879198490642e-05
7,2.098576442222111e-05,1e-04,4.360451566753909e-05
8,1.847536077548284e-05,1e-04,3.623314842116088e-05
9,1.6244492144323885e-05,1e-04,3.6898603866575286e-05
10,1.406205501552904e-05,1e-04,4.711611109087244e-05
11,1.0731811926234514e-05,5e-05,5.395033076638356e-05
12,9.478690117248334e-06,5e-05,3.9761904190527275e-05
13,9.297496944782324e-06,5e-05,4.33323803008534e-05
14,8.160968718584627e-06,5e-05,3.927788566215895e-05
15,7.749802534817718e-06,5e-05,3.858574200421572e-05
16,7.0846253947820514e-06,5e-05,3.7234807678032666e-05
17,7.495007139368681e-06,5e-05,4.1843817598419264e-05
18,5.577794127020752e-06,2.5e-05,4.1018422052729875e-05
19,5.994578714307863e-06,2.5e-05,3.982863199780695e-05
20,5.059599516243907e-06,2.5e-05,3.752265183720738e-05
21,5.525351753021823e-06,2.5e-05,4.410746259964071e-05
22,5.236571723798988e-06,2.5e-05,4.084920510649681e-05
23,5.370371582102962e-06,2.5e-05,4.22754674218595e-05
24,4.936425739288097e-06,2.5e-05,4.302498564356938e-05
25,4.679707217292162e-06,1.25e-05,4.542068563750945e-05
26,4.356380031822482e-06,1.25e-05,3.677664790302515e-05
27,4.427598469192162e-06,1.25e-05,4.1896866605384275e-05
28,4.3700365495169535e-06,1.25e-05,4.143825572100468e-05
29,4.228686066198861e-06,1.25e-05,4.186105070402846e-05
